BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR,TRADINGSESSION,VOLUME,TRADE_SESSION_DATE,RECALC_DATE
SNDX,IMOEX,2024-01-03,Индекс МосБиржи,Индекс МосБиржи,3130.23,3099.78,3132.76,3099.1,25999773751.67,0,0,2,5543796692844.549,RUB,1771049604.4106,3,,2024-01-03,
SNDX,IMOEX,2024-01-04,Индекс МосБиржи,Индекс МосБиржи,3136.07,3140.66,3144.25,3133.93,22880636623.45,0,0,2,5554128976420.323,RUB,1771049604.4106,3,,2024-01-04,
SNDX,IMOEX,2024-01-05,Индекс МосБиржи,Индекс МосБиржи,3136.37,3138.27,3142.8,3128.16,20822444164.74,0,0,2,5554667961113.862,RUB,1771049604.4106,3,,2024-01-05,
SNDX,IMOEX,2024-01-08,Индекс МосБиржи,Индекс МосБиржи,3158.58,3140.12,3158.82,3139.37,35541931860.41,0,0,2,5594008565482.104,RUB,1771049604.4106,3,,2024-01-08,
SNDX,IMOEX,2024-01-09,Индекс МосБиржи,Индекс МосБиржи,3155.55,3156.17,3158.72,3143.03,49269572379.41,0,0,2,5588634449488.357,RUB,1771049604.4106,3,,2024-01-09,
SNDX,IMOEX,2024-01-10,Индекс МосБиржи,Индекс МосБиржи,3164.7,3158.35,3174.28,3156.44,42849987789.07,0,0,2,5604837885383.418,RUB,1771049604.4106,3,,2024-01-10,
SNDX,IMOEX,2024-01-11,Индекс МосБиржи,Индекс МосБиржи,3181.25,3158.3,3181.25,3148.5,75731238106.29,0,0,2,5634154202843.258,RUB,1771049604.4106,3,,2024-01-11,
SNDX,IMOEX,2024-01-12,Индекс МосБиржи,Индекс МосБиржи,3185.22,3182.5,3196.98,3176.09,54148316321.9,0,0,2,5641181909833.32,RUB,1771049604.4106,3,,2024-01-12,
SNDX,IMOEX,2024-01-15,Индекс МосБиржи,Индекс МосБиржи,3184.88,3190.62,3200.78,3176.73,50735907185.46,0,0,2,5640583716303.106,RUB,1771049604.4106,3,,2024-01-15,
SNDX,IMOEX,2024-01-16,Индекс МосБиржи,Индекс МосБиржи,3179.45,3186.77,3187.14,3162.98,50278982619.43,0,0,2,5630959078278.115,RUB,1771049604.4106,3,,2024-01-16,
SNDX,IMOEX,2024-01-17,Индекс МосБиржи,Индекс МосБиржи,3185.23,3174.87,3189.26,3169.99,47074341522.51,0,0,2,5641203231938.323,RUB,1771049604.4106,3,,2024-01-17,
SNDX,IMOEX,2024-01-18,Индекс МосБиржи,Индекс МосБиржи,3178.85,3188.71,3193.54,3176.72,43119055602.56,0,0,2,5629902520189.194,RUB,1771049604.4106,3,,2024-01-18,
SNDX,IMOEX,2024-01-19,Индекс МосБиржи,Индекс МосБиржи,3166.37,3176.13,3179.21,3154.46,45854909733.92,0,0,2,5607804469204.084,RUB,1771049604.4106,3,,2024-01-19,
SNDX,IMOEX,2024-01-22,Индекс МосБиржи,Индекс МосБиржи,3172.15,3161.44,3179.11,3157.37,42130512576.53,0,0,2,5618035146320.089,RUB,1771049604.4106,3,,2024-01-22,
SNDX,IMOEX,2024-01-23,Индекс МосБиржи,Индекс МосБиржи,3175.74,3176.19,3179.75,3166.66,45044845848.28,0,0,2,5624395247113.407,RUB,1771049604.4106,3,,2024-01-23,
SNDX,IMOEX,2024-01-24,Индекс МосБиржи,Индекс МосБиржи,3162.41,3176.59,3183.7,3152.96,46503277369.16,0,0,2,5600788948314.603,RUB,1771049604.4106,3,,2024-01-24,
SNDX,IMOEX,2024-01-25,Индекс МосБиржи,Индекс МосБиржи,3157.74,3163.36,3166.95,3143.89,45461201946.99,0,0,2,5592514271956.743,RUB,1771049604.4106,3,,2024-01-25,
SNDX,IMOEX,2024-01-26,Индекс МосБиржи,Индекс МосБиржи,3163.21,3164.55,3171.95,3157.76,45979583256.1,0,0,2,5602204510666.4375,RUB,1771049604.4106,3,,2024-01-26,
SNDX,IMOEX,2024-01-29,Индекс МосБиржи,Индекс МосБиржи,3176.61,3169.57,3184.15,3169.57,46667512330.43,0,0,2,5625939533541.791,RUB,1771049604.4106,3,,2024-01-29,
SNDX,IMOEX,2024-01-30,Индекс МосБиржи,Индекс МосБиржи,3196.08,3181.75,3196.15,3178.82,71884614820.82,0,0,2,5660407726997.055,RUB,1771049604.4106,3,,2024-01-30,
SNDX,IMOEX,2024-01-31,Индекс МосБиржи,Индекс МосБиржи,3214.19,3201.48,3219.41,3198.83,62393378068.08,0,0,2,5692494205390.25,RUB,1771049604.4106,3,,2024-01-31,
SNDX,IMOEX,2024-02-01,Индекс МосБиржи,Индекс МосБиржи,3229.89,3220.43,3233.21,3220.38,56072080314.88,0,0,2,5720290217428.503,RUB,1771049604.4106,3,,2024-02-01,
SNDX,IMOEX,2024-02-02,Индекс МосБиржи,Индекс МосБиржи,3226.35,3229.48,3232.35,3215.0,58221436623.55,0,0,2,5714033262411.888,RUB,1771049604.4106,3,,2024-02-02,
SNDX,IMOEX,2024-02-05,Индекс МосБиржи,Индекс МосБиржи,3226.79,3218.91,3232.38,3218.91,79772720557.48,0,0,2,5714807505067.155,RUB,1771049604.4106,3,,2024-02-05,
SNDX,IMOEX,2024-02-06,Индекс МосБиржи,Индекс МосБиржи,3238.4,3234.44,3238.4,3228.78,47381481665.38,0,0,2,5735360498505.155,RUB,1771049604.4106,3,,2024-02-06,
SNDX,IMOEX,2024-02-07,Индекс МосБиржи,Индекс МосБиржи,3256.58,3240.57,3259.24,3240.16,71996364667.13,0,0,2,5767571688331.713,RUB,1771049604.4106,3,,2024-02-07,
SNDX,IMOEX,2024-02-08,Индекс МосБиржи,Индекс МосБиржи,3241.81,3261.18,3266.45,3236.79,93017428633.36,0,0,2,5741398037305.686,RUB,1771049604.4106,3,,2024-02-08,
SNDX,IMOEX,2024-02-09,Индекс МосБиржи,Индекс МосБиржи,3242.38,3231.3,3242.38,3219.56,49774764900.27,0,0,2,5742421428645.331,RUB,1771049604.4106,3,,2024-02-09,
SNDX,IMOEX,2024-02-12,Индекс МосБиржи,Индекс МосБиржи,3248.5,3241.57,3248.5,3227.7,53148275940.8,0,0,2,5753248815460.826,RUB,1771049604.4106,3,,2024-02-12,
SNDX,IMOEX,2024-02-13,Индекс МосБиржи,Индекс МосБиржи,3254.6,3250.3,3259.69,3245.02,61252409706.73,0,0,2,5764057512485.212,RUB,1771049604.4106,3,,2024-02-13,
SNDX,IMOEX,2024-02-14,Индекс МосБиржи,Индекс МосБиржи,3258.14,3261.52,3267.88,3251.76,61011261936.57,0,0,2,5770322878463.906,RUB,1771049604.4106,3,,2024-02-14,
SNDX,IMOEX,2024-02-15,Индекс МосБиржи,Индекс МосБиржи,3265.63,3249.78,3265.83,3238.83,59605264673.06,0,0,2,5783595208551.983,RUB,1771049604.4106,3,,2024-02-15,
SNDX,IMOEX,2024-02-16,Индекс МосБиржи,Индекс МосБиржи,3242.48,3269.84,3275.23,3236.42,75952339426.53,0,0,2,5742584761272.7705,RUB,1771049604.4106,3,,2024-02-16,
SNDX,IMOEX,2024-02-19,Индекс МосБиржи,Индекс МосБиржи,3244.56,3247.46,3253.02,3234.1,53050781619.74,0,0,2,5746268980190.182,RUB,1771049604.4106,3,,2024-02-19,
SNDX,IMOEX,2024-02-20,Индекс МосБиржи,Индекс МосБиржи,3207.49,3236.85,3237.34,3206.07,64739998498.75,0,0,2,5680617161673.282,RUB,1771049604.4106,3,,2024-02-20,
SNDX,IMOEX,2024-02-21,Индекс МосБиржи,Индекс МосБиржи,3139.5,3173.01,3185.8,3135.8,105014105685.64,0,0,2,5560209822236.112,RUB,1771049604.4106,3,,2024-02-21,
SNDX,IMOEX,2024-02-22,Индекс МосБиржи,Индекс МосБиржи,3142.3,3152.75,3166.86,3141.88,66954855491.29,0,0,2,5565171502532.843,RUB,1771049604.4106,3,,2024-02-22,
SNDX,IMOEX,2024-02-26,Индекс МосБиржи,Индекс МосБиржи,3213.17,3186.06,3213.17,3186.06,69530002768.27,0,0,2,5690685725308.576,RUB,1771049604.4106,3,,2024-02-26,
SNDX,IMOEX,2024-02-27,Индекс МосБиржи,Индекс МосБиржи,3208.99,3220.26,3224.52,3203.58,55160994984.57,0,0,2,5674890851090.484,RUB,1768432736.5807,3,,2024-02-27,
SNDX,IMOEX,2024-02-28,Индекс МосБиржи,Индекс МосБиржи,3227.05,3215.53,3240.29,3213.36,61902884647.06,0,0,2,5706818346428.266,RUB,1768432736.5807,3,,2024-02-28,
SNDX,IMOEX,2024-02-29,Индекс МосБиржи,Индекс МосБиржи,3256.8,3233.03,3258.14,3224.09,50717302607.49,0,0,2,5759439640918.258,RUB,1768432736.5807,3,,2024-02-29,
SNDX,IMOEX,2024-03-01,Индекс МосБиржи,Индекс МосБиржи,3266.66,3259.0,3269.28,3249.69,59649504551.0,0,0,2,5776877292837.549,RUB,1768432736.5807,3,,2024-03-01,
SNDX,IMOEX,2024-03-04,Индекс МосБиржи,Индекс МосБиржи,3296.75,3278.01,3298.63,3277.85,86678820262.54,0,0,2,5830086112099.29,RUB,1768432736.5807,3,,2024-03-04,
SNDX,IMOEX,2024-03-05,Индекс МосБиржи,Индекс МосБиржи,3300.89,3305.79,3312.41,3283.59,66185929581.91,0,0,2,5837396927995.152,RUB,1768432736.5807,3,,2024-03-05,
SNDX,IMOEX,2024-03-06,Индекс МосБиржи,Индекс МосБиржи,3310.58,3298.86,3318.14,3289.25,49425403549.9,0,0,2,5854540658964.04,RUB,1768432736.5807,3,,2024-03-06,
SNDX,IMOEX,2024-03-07,Индекс МосБиржи,Индекс МосБиржи,3315.68,3309.31,3317.73,3303.93,42342887170.98,0,0,2,5863561274249.717,RUB,1768432736.5807,3,,2024-03-07,
SNDX,IMOEX,2024-03-11,Индекс МосБиржи,Индекс МосБиржи,3320.31,3329.72,3340.37,3318.9,63702584994.11,0,0,2,5871744458868.825,RUB,1768432736.5807,3,,2024-03-11,
SNDX,IMOEX,2024-03-12,Индекс МосБиржи,Индекс МосБиржи,3332.6,3320.18,3335.41,3304.49,54192454895.39,0,0,2,5893473213458.932,RUB,1768432736.5807,3,,2024-03-12,
SNDX,IMOEX,2024-03-13,Индекс МосБиржи,Индекс МосБиржи,3320.68,3337.56,3343.56,3317.19,60223172466.69,0,0,2,5872394696712.552,RUB,1768432736.5807,3,,2024-03-13,
SNDX,IMOEX,2024-03-14,Индекс МосБиржи,Индекс МосБиржи,3297.0,3314.66,3318.49,3287.86,69642224630.18,0,0,2,5830518802391.756,RUB,1768432736.5807,3,,2024-03-14,
SNDX,IMOEX,2024-03-15,Индекс МосБиржи,Индекс МосБиржи,3300.07,3295.15,3313.42,3292.13,49159051514.11,0,0,2,5835956144620.673,RUB,1768432736.5807,3,,2024-03-15,
SNDX,IMOEX,2024-03-18,Индекс МосБиржи,Индекс МосБиржи,3296.3,3305.67,3313.05,3292.0,87440343638.56,0,0,2,5829290769223.245,RUB,1768432736.5807,3,,2024-03-18,
